"surveytype","mobdistance"
"migrant",5.782224453
"migrant",7.904053827
"migrant",46.62546738
"migrant",11.65250974
"migrant",7.480132492
"migrant",57.05630194
"migrant",2.886768257
"migrant",21.04995408
"migrant",127.9104659
"migrant",0.662735767
"migrant",30.29926681
"migrant",5.247436422
"migrant",86.10300831
"migrant",4.931874006
"migrant",20.41525382
"migrant",14.20012038
"migrant",7.874582232
"migrant",0.25910735
"migrant",153.0802983
"migrant",108.0986724
"migrant",20.75445192
"migrant",83.45709123
"migrant",1.008416494
"migrant",4.537593376
"migrant",5.453389451
"migrant",7.681264662
"migrant",1.6227468
"migrant",1.913045198
"migrant",3.038088236
"migrant",18.72784631
"migrant",16.10925768
"migrant",26.10923503
"migrant",9.27618829
"migrant",33.70306311
"migrant",41.77609292
"migrant",26.20458953
"local",0.121683827731
"local",5.7657066705
"local",20.2303524851
"local",8.00675400068
"local",0.0310803482791
"local",3.60954030914
"local",3.81296914814
"local",0.488946942439
"local",0.961397794664
"local",0.63871200229
"local",0.161604291976
"local",4.62071775468
"local",12.6466001133
"local",6.48790714213
"local",6.60789724344
"local",28.5709036766
"local",17.8160108113
"local",22.6296801532
"local",2.19907132563
"local",1.87642306039
"local",0.0638556857381
"local",0.133339919216
"local",1.10520994965
"local",0.358582607741
"local",1.74048533475
"local",4.14333419744
"local",4.19942437724
"local",22.3487960496
"local",3.84423183414
"local",29.3051361908
"local",1.00475664636
"local",0.329780667831
"local",0.206678454579
"local",0.716469207197
"local",21.6150543911
"local",6.03656151995
"local",17.488695887
"local",17.6646335636
"local",1.27667655308
"local",4.30297275809
"local",0.78039794294
"local",0.640467504196
"local",1.4293715836
"local",28.5096497501
"local",1.503511848
"local",3.49947251675
"local",1.55859989289
"local",0.314186758324
"local",0.141797830844
"local",22.1285331652
"local",30.1316764651
"local",1.57706907797
"local",8.32922631574
"local",7.54446937401
"local",8.63488668956
"local",3.69760687882
"local",2.42081479629
"local",2.29425557176
"local",1.7503303265
"local",1.13721709583
"local",4.24705543903
"local",0.806368648193
"local",0.155989221698
"local",2.62604792473
"local",47.4201981483
"local",2.02016387758
"local",2.04173802334
"local",8.21556374548
"local",3.73570026571
"local",1.40232901526
"local",29.6103643499
"local",2.50619285971
"local",11.0840605812
"local",2.47227940085
"local",6.43713609752
"local",2.75970007652
"local",1.5322131342
"local",3.29235026465
"local",6.07573949516
"local",19.3771476784
"local",9.02350765509
"local",2.20365643638
"local",31.8179023259
"local",0.855614986752
"local",59.4841505907
"local",0.125195621073
"local",2.5741277854
"local",33.2508990942
"local",3.66201805241
"local",4.24732746698
"local",32.5609378558
"local",3.01996473872
"local",0.864370975252
"local",12.5140174054
"local",14.9653418508
"local",0.0299717420333
"local",0.0874088763969
"local",3.7156509354
"local",1.3033884877
"local",4.07349568542
"local",1.16127548826
"local",1.27640682043
"local",32.9135901441
"local",3.79284675237
"local",0.650577051651
"local",3.53627788287
"local",0.846387628272
"local",2.68668200302
"local",4.76288586976
"local",1.26130252144
"local",13.4395566606
"local",3.7631636857
"local",25.7619725772
"local",5.15729493954
"local",1.75326607431
"local",1.57712685608
"local",6.84820361993
"local",20.9475043872
"local",10.7495505115
"local",0.620024904359
"local",2.44344028189
"local",23.0059792146
"local",1.4015173578
"local",6.7464495898
"local",7.44617891142
"local",3.58713906834
"local",0.283691927695
"local",4.25263395307
"local",0.620555285605
"local",0.301495917415
"local",5.51571396631
"local",6.71313196632
"local",8.50112770552
"local",0.98601633291
"local",6.6211776571
"local",1.86670687212
"local",2.66707414721
"local",2.72468403897
"local",1.11478026115
"local",2.54396965325
"local",3.02400271033
"local",3.41989479349
"local",1.69715414523
"local",0.956539435671
"local",2.80126663545
"local",0.540222054203
"local",2.54397794215
"local",2.56351425173
"local",18.9083384156
"local",0.8128093571
"local",1.51493105228
"local",1.67729981697
"local",1.17059259688
"local",8.84990442096
"local",5.00087367995
"local",8.86471285969
"local",9.22392967379
"local",5.47113628226
"local",1.26001053383
"local",3.71348624861
"local",0.123122588899
"local",5.07002345457
