Latitude,Longitude,Bath,Bed,Price,Postal,Crime,MedIncome,School,Sqft_Area,Lot_Area,SchoolDist,Property_Address,Zestimate,Date_Sold,Locality,Region,Built_Year,Price_Sqft,Envi,Age,TranEnvi,TransDist,SchoolType,SchoolTSRatio,SchoolRating,MedAge,Population,College.Graduates,Rank
47.500824,-122.248576,1.75,4,310000,98178,254,60190,1,2030,9300,0.552950332,11449 69th Pl S,290K,6/21/2013,Seattle,WA,1945,152,0,69,0,Inf,8,18,1,38,21860,23.15,7537
47.500891,-122.244409,1.75,3,241000,98178,201,60190,1,1580,16552.8,0.262703377,11407 Crestwood Dr S,261K,3/28/2013,Seattle,WA,1945,152,0,69,0,Inf,8,18,1,38,21860,23.15,7537
47.500899,-122.247751,1,2,205425,98178,248,60190,1,880,6751,0.495122782,11440 69th Pl S,218K,6/26/2014,Seattle,WA,1945,233,0,69,0,Inf,8,18,1,38,21860,23.15,7537
47.501342,-122.244445,1,3,218000,98178,208,60190,1,880,18295.2,0.293920248,11257 Crestwood Dr S,216K,6/25/2014,Seattle,WA,1945,247,0,69,0,Inf,8,18,1,38,21860,23.15,7537
47.501468,-122.379197,1,3,332000,98146,275,53346,2,1200,8276,0.907736178,11247 37th Ave SW,344K,11/14/2013,Seattle,WA,1947,276,0,67,0,Inf,8,19,4,38.3,25574,20.58,9082
47.501552,-122.380176,1,2,319950,98146,271,53346,2,920,8341,0.953156905,11254 Marine View Dr SW,326K,6/20/2014,Seattle,WA,1939,347,0,75,0,Inf,8,19,5,38.3,25574,20.58,9082
47.501753,-122.380311,3.25,4,825000,98146,273,53346,2,3852,9757,0.932776407,11242 Marine View Dr SW,891K,6/25/2014,Seattle,WA,1938,214,0,76,0,Inf,8,19,5,38.3,25574,20.58,9082
47.501927,-122.2429,1,2,123200,98178,208,60190,1,1150,6969,0.274778351,11229 Woodley Ave S,228K,2/7/2013,Seattle,WA,1944,107,0,70,0,Inf,8,18,1,38,21860,23.15,7537
47.502156,-122.260554,1,3,166000,98178,350,60190,1,910,11325.6,0.95586642,5717 S Leo St,202K,11/8/2012,Seattle,WA,1980,182,0,34,0,Inf,7,23,NA,38,21860,23.15,7537
47.502159,-122.260797,1,3,146000,98178,350,60190,1,910,11325.6,0.95614855,5713 S Leo St,200K,1/7/2014,Seattle,WA,1980,160,0,34,0,Inf,7,23,NA,38,21860,23.15,7537
47.502667,-122.374838,1,3,325000,98146,332,53346,3,1250,6002,0.668103699,3208 SW 113th St,353K,10/16/2013,Seattle,WA,1954,260,0,60,0,Inf,8,19,4,38.3,25574,20.58,9082
47.502718,-122.261028,1.5,4,141000,98178,356,60190,1,2320,7242,0.89502342,5704 S Leo St,258K,9/13/2013,Seattle,WA,1966,60,1,48,0,Inf,7,23,NA,38,21860,23.15,7537
47.50287,-122.263926,4,3,270000,98178,369,60190,1,1680,10018,0.918753341,5520 S Leo St,281K,6/28/2013,Seattle,WA,1940,160,1,74,0,Inf,7,23,NA,38,21860,23.15,7537
47.502911,-122.371939,3,3,435000,98146,358,53346,3,2220,7200,0.527969708,11058 31st Ave SW,637K,3/17/2014,Seattle,WA,1977,195,0,37,0,Inf,8,19,4,38.3,25574,20.58,9082
47.502927,-122.254723,2,4,270000,98178,329,60190,1,1968,9583,0.963724387,6209 S Fountain St,250K,5/23/2013,Seattle,WA,1954,137,1,60,0,Inf,7,23,NA,38,21860,23.15,7537
47.502941,-122.3824,3,4,812000,98146,274,53346,1,3440,10020,0.848263546,3914 SW Arroyo Dr,870K,1/30/2014,Seattle,WA,1952,236,0,62,0,Inf,8,19,5,38.3,25574,20.58,9082
47.502945,-122.253709,1.5,4,224000,98178,323,60190,2,2020,7560,0.992679106,6231 S Fountain St,259K,7/2/2013,Seattle,WA,1954,110,1,60,0,Inf,8,18,1,38,21860,23.15,7537
47.503019,-122.25982,2,3,141750,98178,356,60190,2,1350,6629,0.860221899,10765 59th Ave S,227K,8/11/2014,Seattle,WA,1979,105,1,35,0,Inf,7,23,NA,38,21860,23.15,7537
47.503023,-122.263502,2,3,245000,98178,369,60190,2,1720,9730,0.893304726,10811 56th Ave S,250K,5/16/2014,Seattle,WA,1942,142,1,72,0,Inf,7,23,NA,38,21860,23.15,7537
47.50335,-122.371929,2.5,4,485000,98146,364,53346,3,2430,7405,0.566737546,11042 31st Ave SW,480K,7/10/2014,Seattle,WA,1977,199,0,37,0,Inf,8,19,4,38.3,25574,20.58,9082
47.503454,-122.262669,1.75,3,148000,98178,374,60190,2,1220,9200,0.831414893,5604 S Fountain St,260K,6/21/2013,Seattle,WA,1946,121,1,68,0,Inf,7,23,NA,38,21860,23.15,7537
